Number,Price,Lot_Size,Waterfront,Age,Land_Value,New_Construct,Central_Air,Fuel_Type,Heat_Type,Sewer_Type,Living_Area,Pct_College,Bedrooms,Fireplaces,Bathrooms,Rooms
1,132500,0.09,0,42,50000,0,0,Electric,Electric,Private,906,35,2,1,1,5
2,181115,0.92,0,0,22300,0,0,Gas,Hot_Water,Private,1953,51,3,0,2.5,6
3,109000,0.19,0,133,7300,0,0,Gas,,Public,1944,51,4,1,1,8
4,155000,0.41,0,13,18700,0,0,Gas,Hot_Air,Private,1944,51,3,1,1.5,5
5,86060,0.11,0,0,15000,1,1,Gas,Hot_Air,Public,840,51,2,0,1,3
6,120000,0.68,0,31,14000,0,0,Gas,Hot_Air,Private,1152,22,4,,1,8
7,153000,0.4,0,33,,0,0,Oil,Hot_Water,Private,2752,51,4,,1.5,8
8,170000,1.21,0,23,14600,0,0,Oil,Hot_Air,Private,1662,35,4,1,1.5,9
9,90000,0.83,0,36,22200,0,0,Electric,Electric,Private,1632,51,3,0,1.5,8
10,122900,1.94,0,4,,0,0,Gas,Hot_Air,,1416,44,3,0,1.5,6
11,325000,2.29,0,123,12600,0,0,Oil,Hot_Air,Private,2894,51,7,0,1,12
12,120000,0.92,0,1,22300,0,0,Gas,Hot_Air,Private,1624,51,3,0,2,6
13,85860,8.97,0,13,4800,0,0,Electric,,Private,704,41,2,,1,4
14,97000,0.11,0,153,3100,0,0,Gas,Hot_Water,Public,1383,57,3,0,2,5
15,127000,0.14,0,9,300,0,0,Oil,Hot_Air,Private,1300,41,3,,1.5,8
16,89900,0,0,88,2500,0,0,Gas,Hot_Water,Public,936,57,3,0,1,4
17,155000,0.13,0,9,300,0,0,Oil,Hot_Air,Private,1300,41,3,,1.5,7
18,253750,2,0,0,49800,0,1,Gas,Hot_Air,,2816,71,4,1,2.5,12
19,60000,0.21,0,82,8500,0,0,Oil,,Private,924,35,2,,1,6
20,87500,0.88,0,17,19400,0,0,Oil,Hot_Air,Private,1092,35,3,0,1,6
21,112000,1,0,12,8600,0,0,Electric,Electric,Private,1056,35,3,0,1,7
22,104900,0.43,0,21,5600,0,0,Electric,,Public,1600,39,3,0,1.5,4
23,148635,0.32,0,1,6200,1,1,Gas,Hot_Air,Private,1576,39,3,0,2.5,7
24,150000,0.03,0,24,5100,0,0,Oil,Hot_Air,Private,2080,39,3,0,2,6
25,90400,0.36,0,16,5200,0,0,Electric,Electric,Public,1600,39,3,,1.5,4
26,248800,4,0,,5500,0,0,Oil,Hot_Air,Private,2224,39,4,0,3,10
27,135000,1.83,0,126,,0,0,Oil,Hot_Water,Private,1656,39,3,0,1,6
28,145000,3,0,26,4500,0,0,Oil,Hot_Air,Private,1170,39,4,0,1.5,5
29,457000,0.43,1,53,2700,0,0,Oil,Hot_Air,Public,2461,39,4,,2,10
30,140000,0.44,0,56,19400,0,1,Oil,Hot_Air,Private,1544,71,3,1,1.5,7
31,130000,1.24,0,51,24800,0,0,Oil,Hot_Water,Private,1220,71,2,,1,4
32,187000,0.46,0,3,15200,0,0,Gas,Hot_Air,Private,1858,52,3,,2.5,7
33,229000,0.87,0,9,41100,0,0,Gas,Hot_Air,Public,2219,64,3,1,2,8
34,227000,1.8,0,201,25500,0,0,Oil,Hot_Air,Private,1876,52,3,0,2.5,5
35,179900,0.46,0,1,15200,0,0,Gas,Hot_Air,Private,2026,52,4,1,2.5,6
36,169900,0.91,0,19,20200,0,1,Gas,Hot_Air,Private,1671,71,4,1,3,8
37,209900,0.46,0,1,15200,0,0,Gas,,,2060,52,4,1,2.5,7
38,169900,0.59,0,0,17300,0,0,Gas,Hot_Air,Private,1884,52,4,1,2.5,9
39,293000,7.24,0,43,36600,0,0,Gas,Hot_Water,Private,2022,71,4,,3,6
40,245900,0.19,0,0,20700,0,1,Gas,Hot_Air,,2394,71,4,1,2.5,7
41,157000,0.46,0,45,20200,0,0,Gas,Hot_Air,Private,1390,71,3,,1.5,6
42,195000,0.41,0,32,27100,0,1,Gas,Hot_Air,Private,1954,71,4,,2.5,8
43,150000,0.78,0,54,24500,0,1,Oil,Hot_Air,Private,1554,71,3,1,1.5,5
44,234900,0.89,0,9,41600,0,1,Gas,Hot_Air,Public,1976,64,3,0,2.5,6
45,279550,1.34,0,0,44400,0,0,Gas,Hot_Air,Private,2479,71,4,1,2.5,10
46,246500,1,0,0,17100,0,0,Gas,Hot_Air,,2714,71,4,1,2.5,9
47,124000,1,0,98,15500,0,0,Oil,Hot_Air,Private,797,52,2,0,1,3
48,138000,0.27,0,54,8900,0,0,Gas,Hot_Water,Private,1500,71,3,,2.5,7
49,290000,0.71,1,73,61000,0,0,Oil,Hot_Air,Private,1838,71,4,0,2,8
50,108000,0.9,0,48,19000,0,0,Gas,Hot_Air,Private,1042,71,2,1,2,3
51,134900,0.24,0,10,8000,0,1,Gas,Hot_Air,Public,1782,52,3,0,2.5,6
52,64500,0.06,0,16,1600,0,0,Gas,Hot_Air,Public,1480,52,2,1,2.5,5
53,142000,0.55,0,,13800,0,0,Gas,Hot_Air,Private,1426,52,3,,2,6
54,125000,0.34,0,32,11100,0,0,Gas,Hot_Air,Private,1404,52,3,0,2,5
55,88000,0.19,0,15,3400,0,1,Gas,Hot_Water,Public,1480,52,3,1,1.5,5
56,135000,0.23,0,135,8100,0,0,Gas,Hot_Water,Public,1344,52,3,,1,5
57,90000,0.07,0,14,1800,0,1,Gas,Hot_Air,Public,1480,52,2,1,2.5,5
58,90100,0.09,0,15,,0,0,Gas,Hot_Water,Public,1480,52,3,1,1.5,7
59,126900,0.25,0,10,8400,0,0,Gas,Hot_Air,Public,1596,52,3,0,2.5,6
60,175000,0.47,0,15,27200,0,0,Electric,Electric,Private,1768,52,3,,2,5
61,158000,0.36,0,10,12100,0,1,Gas,Hot_Air,Public,1348,52,2,1,2,3
62,92000,0.07,0,14,1800,0,0,Gas,Hot_Air,Public,1480,52,3,1,1.5,8
63,82800,0.11,0,225,3900,0,0,Gas,,Public,1483,52,3,,1,7
64,140000,0.23,0,25,8300,0,1,Gas,Hot_Air,Public,1576,52,4,1,1.5,5
65,171000,3.16,0,15,24100,0,0,Electric,Electric,Private,1008,52,2,0,1,7
66,200640,0.08,0,0,32000,1,0,Gas,Hot_Air,Public,2332,52,4,0,2.5,9
67,139000,0.57,0,30,7500,0,0,Oil,,Private,1064,52,3,1,1,5
68,225000,0.5,0,12,15300,0,1,Gas,Hot_Air,Public,2428,52,4,1,2.5,11
69,182000,1,0,16,26600,0,0,Electric,Electric,Private,1310,52,3,1,2,7
70,208767,0.5,0,0,32000,1,1,Gas,Hot_Air,Public,1662,52,3,,2,7
